"Resample";"modelo";"metrica";"valor"
"Fold2.Rep2";"svm";"Accuracy";0.948148148148148
"Fold2.Rep3";"svm";"Accuracy";0.952029520295203
"Fold2.Rep4";"svm";"Accuracy";0.951851851851852
"Fold2.Rep5";"svm";"Accuracy";0.966542750929368
"Fold3.Rep1";"svm";"Accuracy";0.955555555555556
"Fold3.Rep2";"svm";"Accuracy";0.955555555555556
"Fold3.Rep3";"svm";"Accuracy";0.951851851851852
"Fold3.Rep4";"svm";"Accuracy";0.937037037037037
"Fold3.Rep5";"svm";"Accuracy";0.966666666666667
"Fold4.Rep1";"svm";"Accuracy";0.929368029739777
"Fold4.Rep2";"svm";"Accuracy";0.952029520295203
"Fold4.Rep3";"svm";"Accuracy";0.929368029739777
"Fold4.Rep4";"svm";"Accuracy";0.962962962962963
"Fold4.Rep5";"svm";"Accuracy";0.944649446494465
"Fold5.Rep1";"svm";"Accuracy";0.944444444444444
"Fold5.Rep2";"svm";"Accuracy";0.92962962962963
"Fold5.Rep3";"svm";"Accuracy";0.951851851851852
"Fold5.Rep4";"svm";"Accuracy";0.944237918215613
"Fold5.Rep5";"svm";"Accuracy";0.937037037037037
"Fold1.Rep1";"svm";"Kappa";0.886731183487123
"Fold1.Rep2";"svm";"Kappa";0.87277027027027
"Fold1.Rep3";"svm";"Kappa";0.900542495479204
"Fold1.Rep4";"svm";"Kappa";0.875883276629155
"Fold1.Rep5";"svm";"Kappa";0.800362976406534
"Fold2.Rep1";"svm";"Kappa";0.90990990990991
"Fold2.Rep2";"svm";"Kappa";0.875666074600355
"Fold2.Rep3";"svm";"Kappa";0.886731183487123
"Fold2.Rep4";"svm";"Kappa";0.884135472370767
"Fold2.Rep5";"svm";"Kappa";0.920228014102606
"Fold3.Rep1";"svm";"Kappa";0.891891891891892
"Fold3.Rep2";"svm";"Kappa";0.894179894179894
"Fold3.Rep3";"svm";"Kappa";0.88245931283906
"Fold3.Rep4";"svm";"Kappa";0.849557522123894
"Fold3.Rep5";"svm";"Kappa";0.92091388400703
"Fold4.Rep1";"svm";"Kappa";0.826704641779405
"Fold4.Rep2";"svm";"Kappa";0.885946453430024
"Fold4.Rep3";"svm";"Kappa";0.832771651997513
"Fold4.Rep4";"svm";"Kappa";0.90990990990991
"Fold4.Rep5";"svm";"Kappa";0.864648886225152
"Fold5.Rep1";"svm";"Kappa";0.864376130198915
"Fold5.Rep2";"svm";"Kappa";0.82695810564663
"Fold5.Rep3";"svm";"Kappa";0.880733944954128
"Fold5.Rep4";"svm";"Kappa";0.863187875089004
"Fold5.Rep5";"svm";"Kappa";0.847396768402154
