"sp";"set";"ref";"34500";"57000";"67000";"77000";"87000";"98500";"108500";"118500";"128500";"138500";"148500";"173000";"183000";"193000";"203000";"213000"
"skj";12;"2019-09-05 15:18:35_16.5";-43.27;-41.7525;-42.685;-37.7575;-40.765;-38.65;-33.03;-36.9975;-46.22;-46.2775;-44.905;-38.9475;-38.675;-39.4175;-44.115;-43.815
"skj";12;"2019-09-05 15:18:36_14.6";-44.57;-45.57;-40.87;-36.97;-41.805;-34.205;-40.85;-37.72;-40.05;-41.14;-45.31;-42.65;-40.855;-46.665;-50.065;-44.645
"skj";12;"2019-09-05 15:18:42_14.4";-41.71;-41.335;-45.125;-45.495;-47.17;-43.27;-41.4;-48.505;-45.13;-49.29;-49.96;-41.78;-33.93;-43.23;-42.585;-44.39
"skj";12;"2019-09-05 15:18:50_16.2";-48.6;-49.82;-39.655;-47.93;-56.825;-49.615;-49.415;-47.79;-43.77;-49.345;-44.45;-36.81;-44.39;-45.49;-46.17;-44.025
"skj";12;"2019-09-05 15:18:51_14.2";-48.03;-44.675;-47.92;-47.595;-43.785;-53.94;-40.495;-40.205;-44.985;-45.34;-50.94;-50.045;-37.875;-44.645;-49.485;-36.87
"skj";12;"2019-09-05 15:18:51_17.1";-47.49;-47.295;-48.155;-41.945;-52.36;-45.89;-38.72;-45.995;-44.665;-56.3;-51.98;-41.345;-42.29;-40.35;-42.73;-49.975
"skj";12;"2019-09-05 15:18:57_14.6";-39.62;-35.5775;-41.27;-43.415;-42.955;-36.01;-39.01;-36.01;-43.185;-38.35;-37.86;-33.025;-36.99;-36.51;-41.26;-40.905
"skj";12;"2019-09-05 15:19:05_13.8";-38.87;-35.63;-42.875;-48.455;-53.765;-37.14;-39.87;-42.03;-40.75;-45.27;-43.3;-45.585;-47.7025;-46.19;-50.4225;-48.67
"skj";12;"2019-09-05 15:19:10_14.4";-40.65;-38.79;-43.0475;-44.24;-49.81;-40.0775;-43.1525;-38.1225;-41.0475;-49.7225;-47.34;-47.5775;-45.795;-42.3825;-42.9925;-42.945
"skj";12;"2019-09-05 15:19:11_13.4";-45.38;-48.245;-39.37;-39.115;-41.45;-38.94;-34.4075;-38.09;-46.5725;-46.7925;-49.095;-39.57;-38.78;-37.575;-39.915;-46.08
"skj";12;"2019-09-05 15:19:24_14.3";-36.96;-38.6275;-37.8225;-39.275;-40.04;-33.765;-30.055;-37.175;-44.6025;-51.01;-50.345;-41.985;-48.045;-43.775;-36.265;-33.48
"skj";12;"2019-09-05 15:19:24_14.4";-36.04;-37.49;-36.93;-38.665;-40.88;-33.935;-39.61;-35.24;-37.855;-42.77;-43.19;-40.575;-41.465;-34.885;-30.88;-30.17
"skj";12;"2019-09-05 15:19:32_9.5";-43.92;-43.8425;-44.22;-42.56;-47.0875;-46;-40.945;-44.345;-41.81;-44.39;-47.65;-35.575;-35.335;-39.495;-37.215;-44.325
"skj";12;"2019-09-05 15:19:33_14.2";-41.65;-44.145;-48.495;-51.445;-52.325;-43.075;-42.8525;-44.1775;-43.9325;-47.7425;-47.39;-43.125;-44.77;-43.38;-44.8;-45.615
"skj";12;"2019-09-05 15:19:34_15.3";-40.03;-39.715;-37.72;-45.855;-49.425;-43.115;-37.73;-39.825;-41.385;-38.12;-36.04;-42.475;-48.055;-44.495;-39.99;-37.39
"skj";12;"2019-09-05 15:19:36_16.6";-47.45;-52.68;-48.07;-37.865;-48.19;-48.43;-44.5;-45.09;-47.915;-44.155;-49.62;-43.13;-43.655;-42.455;-43.365;-49.875
"skj";12;"2019-09-05 15:19:53_16.5";-43.2;-43.675;-46.7;-47.215;-47.96;-40.735;-44.7;-40.295;-48.19;-37.895;-46.39;-43.855;-41.675;-44.525;-42.285;-47.61
"skj";12;"2019-09-05 15:19:55_16.9";-39.81;-36.675;-36.005;-37.765;-42.65;-33.54;-31.915;-33.385;-37.185;-44.48;-45.03;-47.73;-53.38;-44.655;-44.34;-41.36
"skj";12;"2019-09-05 15:19:55_17";-47.25;-40.595;-43.835;-52.035;-49.585;-34.13;-38.89;-44.425;-43.68;-52.005;-51.97;-46.195;-44;-39.12;-41.76;-53.985
"skj";12;"2019-09-05 15:19:56_12.2";-46.02;-38.145;-43.9075;-48.1375;-45.76;-39.96;-36.23;-36.46;-47.255;-47.71;-48.37;-39.8225;-42.78;-45.5875;-43.75;-44.7
"skj";12;"2019-09-05 15:19:56_15.6";-47.59;-48.385;-45.34;-45.87;-46.77;-51.885;-40.755;-41.985;-36.18;-40.74;-44.65;-43.645;-46.12;-50.12;-55.495;-58.525
"skj";12;"2019-09-05 15:19:58_9.8";-38.72;-43.85;-42.035;-43.185;-45.11;-43.655;-40.345;-49.685;-48.46;-41.08;-38.22;-42.295;-43.805;-42.885;-40.44;-40.39
"skj";12;"2019-09-05 15:20:02_16";-41.72;-38.765;-37.325;-47.18;-51.9;-29.495;-29.745;-35.26;-40.615;-44.38;-43.38;-44.185;-43.595;-48.165;-44.8;-38.62
"skj";12;"2019-09-05 15:20:03_10.8";-40.33;-36.37;-37.105;-37.41;-42.275;-32.695;-33.59;-36.245;-41.29;-42.09;-40.98;-44.0275;-39.8325;-39.7575;-39.27;-42.39
"skj";12;"2019-09-05 15:20:03_15.9";-38.475;-35.775;-45.055;-53.235;-55.355;-36.135;-38.195;-41.4875;-44.28;-46.275;-40.835;-33.525;-37.48;-42.22;-37.61;-41.32
"skj";12;"2019-09-05 15:20:03_16.1";-39.94;-35.55;-36.52;-39.765;-42.41;-36.03;-41.12;-36.44;-36.265;-36.33;-33.44;-34.975;-34.005;-45.94;-54.87;-46.26
"skj";12;"2019-09-05 15:20:06_20.2";-43.36;-39.285;-43.99;-40.165;-41.8;-46.34;-33.94;-37.905;-39.335;-44.65;-50.76;-46.175;-43.33;-40.03;-43.565;-47.315
"skj";12;"2019-09-05 15:20:06_9";-41.11;-38.325;-42.04;-47.435;-45.77;-40.4575;-42.3225;-40.28;-47.2875;-49.5675;-55.395;-40.4775;-42.38;-43.5125;-43.75;-46.7225
"skj";12;"2019-09-05 15:20:13_16.2";-37.76;-37.69;-37.77;-45.415;-58.89;-35.25;-37.5925;-41.0975;-44.0825;-42.1175;-42.07;-43.315;-41.28;-41.83;-46.1325;-44.635
"skj";12;"2019-09-05 15:20:18_14.2";-38.64;-42.52;-38.7675;-36.4225;-38.785;-43.74;-33.2425;-31.7875;-36.43;-36.7975;-38.155;-39.7525;-41.4575;-41.1925;-46.4625;-55.22
"skj";12;"2019-09-05 15:20:21_9";-43.81;-38.9325;-37.17;-46.225;-49.3225;-38.3925;-34.7125;-37.3975;-37.8075;-41.205;-39.615;-38.1325;-38.3975;-40.225;-39.02;-38.7375
"skj";12;"2019-09-05 15:20:23_8.4";-44.22;-45.165;-41.3725;-38.745;-41.535;-39.715;-38.89;-38.56;-38.89;-37.75;-35;-38.56;-38.645;-38.81;-39.4625;-40.475
"skj";12;"2019-09-05 15:20:24_11.4";-42.02;-45.0725;-42.2725;-45.32;-51.65;-36.975;-31.095;-34.3075;-43.8;-42.255;-37.28;-43.5;-29.77;-28.835;-38.61;-32.195
"skj";12;"2019-09-05 15:20:24_9.5";-38.2;-41.785;-40.735;-41.655;-44.37;-42.24;-42.105;-39.43;-43.225;-42.37;-47.08;-35.295;-40.045;-37.04;-44.845;-40.685
"skj";12;"2019-09-05 15:20:25_15.2";-38.97;-35.335;-35.97;-44.405;-46.73;-32.5;-28.635;-33.935;-36.725;-39.855;-34.49;-32.67;-33.13;-31.035;-32.775;-32.8
"skj";12;"2019-09-05 15:20:26_9.4";-42.3;-48.9725;-40.77;-39.9525;-39.8625;-37.26;-34.405;-35.27;-39.38;-51.13;-45.63;-41.09;-41.72;-42.7075;-41.6;-44.97
"skj";12;"2019-09-05 15:20:30_10.3";-39.555;-29.37;-32.27;-33.705;-33.515;-28.65;-28.8;-37.825;-45.82;-43.08;-40.01;-36.145;-35.94;-35.525;-35.755;-34.925
"skj";12;"2019-09-05 15:20:32_8.8";-38.97;-35.955;-46.78;-48.335;-51.785;-37.755;-37.555;-37.27;-46.185;-43.755;-47.67;-38.8;-50.79;-47.275;-47.785;-55.265
"skj";12;"2019-09-05 15:20:33_12.5";-36.01;-36.47;-40.655;-41.555;-46.845;-32.9;-32.765;-38.72;-38.43;-44.4;-52.73;-38.25;-37.95;-31.93;-38.835;-46.59
"skj";12;"2019-09-05 15:20:34_10.2";-36.805;-29;-31.6675;-36.81;-37.4475;-34.265;-27.85;-33.215;-37.985;-33.935;-32.9;-34.41;-30.555;-28.875;-31.535;-33.265
"skj";12;"2019-09-05 15:20:34_8.8";-41.05;-36.345;-37;-45.275;-49.2325;-36.43;-31.925;-33.165;-38.545;-38.04;-36.36;-41.4725;-42.8375;-39.77;-41.0725;-41.4525
